id,nev,szekhelyid,adoszam,email,telefon
1,Fehér Zoltán,1334,76418484-1-25,Fehér.Zoltán@email.hu,+36939090212
2,Kerekes Martin,2961,88346348-2-03,Kerekes.Martin@email.hu,+36508071597
3,Balogh Ábel,1114,68177663-1-03,Balogh.Ábel@email.hu,+36477989087
4,Bodnár Mirkó,580,68305005-2-15,Bodnár.Mirkó@email.hu,+36298291848
5,Gál Márk,1179,59442358-2-05,Gál.Márk@email.hu,+36126050627
6,Szőke Lilla,2481,90410674-2-35,Szőke.Lilla@email.hu,+36853027112
7,Szilágyi Gellért,1803,91715335-1-05,Szilágyi.Gellért@email.hu,+36581815693
8,Jakab Richárd,333,48531297-2-42,Jakab.Richárd@email.hu,+36362991991
9,Budai Eliza,2512,75163220-1-15,Budai.Eliza@email.hu,+36546840885
10,Barna Roland,73,45364293-2-25,Barna.Roland@email.hu,+36956761576
11,Orsós Emília,1637,25889867-1-30,Orsós.Emília@email.hu,+36374131262
12,Szekeres Róza,2181,46617459-1-07,Szekeres.Róza@email.hu,+36667078022
13,Takács Rozina,1515,13785773-2-03,Takács.Rozina@email.hu,+36639138075
14,Csonka Zalán,1486,63045660-2-10,Csonka.Zalán@email.hu,+36191557457
15,Lukács Péter,1033,72162587-1-25,Lukács.Péter@email.hu,+36487399338
16,Balla Kristóf,1945,39520621-2-41,Balla.Kristóf@email.hu,+36453246710
17,Hegedűs Vencel,2016,92331561-1-03,Hegedűs.Vencel@email.hu,+36237100796
18,Faragó Norina,2735,80188386-1-35,Faragó.Norina@email.hu,+36445348520
19,Bakos Attila,2763,60337486-1-42,Bakos.Attila@email.hu,+36202249295
20,Szalai Mia,2437,97956686-2-07,Szalai.Mia@email.hu,+36382817407
21,Bodnár Zétény,1902,64834081-1-35,Bodnár.Zétény@email.hu,+36720228821
22,Vincze Gyula,770,40422678-2-25,Vincze.Gyula@email.hu,+36339329038
23,Illés Emese,755,43923454-1-42,Illés.Emese@email.hu,+36184398635
24,Pásztor Iván,236,45743478-1-41,Pásztor.Iván@email.hu,+36683131095
25,Mezei Benett,2239,48914907-2-05,Mezei.Benett@email.hu,+36979983737
26,Sipos Vencel,162,47458218-1-03,Sipos.Vencel@email.hu,+36746749786
27,Pásztor Vanessza,1998,73131016-1-30,Pásztor.Vanessza@email.hu,+36232815089
28,Pap Zsolt,2237,14502458-1-07,Pap.Zsolt@email.hu,+36330167989
29,László Marcell,2152,92059664-2-25,László.Marcell@email.hu,+36837472680
30,Márton Kevin,1854,54870978-2-10,Márton.Kevin@email.hu,+36581536236
31,Boros Kincső,625,55408332-2-05,Boros.Kincső@email.hu,+36441783577
32,Balog Dorina,336,90272711-1-10,Balog.Dorina@email.hu,+36641547009
33,Lakatos Tamás,2445,90900569-2-42,Lakatos.Tamás@email.hu,+36386958994
34,Török Gergő,963,33686162-1-35,Török.Gergő@email.hu,+36134831354
35,Csonka Márk,1585,23640729-2-25,Csonka.Márk@email.hu,+36901502070
36,Gáspár Nándor,618,93023420-1-07,Gáspár.Nándor@email.hu,+36925837524
37,Orbán Luca,2863,47691368-1-15,Orbán.Luca@email.hu,+36770686157
38,Váradi Virág,1798,11455419-1-30,Váradi.Virág@email.hu,+36223311868
39,Bogdán Kristóf,199,89784627-2-03,Bogdán.Kristóf@email.hu,+36796690138
40,Oláh Ferenc,1506,68853155-1-15,Oláh.Ferenc@email.hu,+36399317554
41,Fazekas Soma,251,92317631-1-30,Fazekas.Soma@email.hu,+36467711967
42,Antal Barnabás,2517,59152538-1-10,Antal.Barnabás@email.hu,+36251670349
43,Orbán Kata,1605,77993428-2-07,Orbán.Kata@email.hu,+36934911279
44,Virág Martin,1564,30674822-1-30,Virág.Martin@email.hu,+36729735641
45,Kozma Gréta,1286,27232969-1-07,Kozma.Gréta@email.hu,+36913692254
46,Bognár Fruzsina,2571,65879458-1-15,Bognár.Fruzsina@email.hu,+36221710781
47,Barta Olívia,2343,92788792-2-10,Barta.Olívia@email.hu,+36859683500
48,Balogh Dénes,2498,62282837-1-10,Balogh.Dénes@email.hu,+36199456627
49,Papp Mihály,2133,57501533-2-10,Papp.Mihály@email.hu,+36738757198
50,Fodor Kata,599,17368206-1-10,Fodor.Kata@email.hu,+36108653853
51,Bakos Benedek,1769,98902631-2-07,Bakos.Benedek@email.hu,+36625800638
52,Márton Kevin,1496,14982576-1-05,Márton.Kevin@email.hu,+36270974247
53,Fazekas Noel,2363,71486520-1-30,Fazekas.Noel@email.hu,+36887804040
54,Bognár Flóra,2341,51015085-1-25,Bognár.Flóra@email.hu,+36329179558
55,Gáspár Benett,1147,58007265-2-41,Gáspár.Benett@email.hu,+36222671997
56,Bogdán Luca,2868,96230312-1-25,Bogdán.Luca@email.hu,+36615185533
57,Varga Péter,1511,14657400-2-35,Varga.Péter@email.hu,+36339097321
58,Kiss Dorina,183,82668691-1-03,Kiss.Dorina@email.hu,+36710282349
59,Balog Vince,645,79624605-1-03,Balog.Vince@email.hu,+36233732469
60,Vörös Gréta,322,72218646-2-15,Vörös.Gréta@email.hu,+36294725198
61,Bálint Szebasztián,2787,77514165-2-30,Bálint.Szebasztián@email.hu,+36635636382
62,Lukács Balázs,1870,47447384-1-05,Lukács.Balázs@email.hu,+36267072063
63,Kozma Dávid,485,16706139-1-42,Kozma.Dávid@email.hu,+36440943669
64,Orsós Brendon,2962,80526747-1-30,Orsós.Brendon@email.hu,+36880729007
